Date,Open,High,Low,Close ,Adj Close ,Volume,Month-over-month
"Oct 1, 2014",29.34,29.62,25.92,28.39,28.18,1109632000,-0.034931506849315
"Sep 1, 2014",29.15,30.27,28.85,29.42,29.2,708502000,0.0103806228373702
"Aug 1, 2014",28.93,29.89,28.37,29.12,28.9,581574000,0.00486787204450612
"Jul 1, 2014",29.38,30.45,28.6,28.98,28.76,771666000,-0.00861771802826616
"Jun 1, 2014",28.49,29.48,27.37,29.23,29.01,789784000,0.0225590412407473
"May 1, 2014",26.71,28.88,25.55,28.58,28.37,829136000,0.0689525244913338
"Apr 1, 2014",28.03,29.42,25.55,26.74,26.54,1421285316,-0.0411849710982659
"Mar 1, 2014",30.2,30.71,27.58,27.89,27.68,1744505748,-0.0831401126200729
"Feb 1, 2014",29.51,30.75,28.23,30.42,30.19,1620230148,0.0293215138083873
"Jan 1, 2014",27.91,29.69,27.08,29.55,29.33,2178287532,0.0535201149425286
"Dec 1, 2013",26.61,28.05,26.25,28.05,27.84,1352374272,0.0577507598784195
"Nov 1, 2013",25.82,26.73,25.15,26.52,26.32,1049213736,0.028125
"Oct 1, 2013",22.03,26.06,21.1,25.79,25.6,2206771020,0.176470588235294
"Sep 1, 2013",21.38,22.67,21.37,21.92,21.76,1323615060,0.0347123157394198
"Aug 1, 2013",22.4,22.77,21.16,21.19,21.03,1338144516,-0.0462585034013605
"Jul 1, 2013",22.18,23.22,21.91,22.22,22.05,2047770180,0.00823045267489708
"Jun 1, 2013",21.85,22.79,21.2,22.03,21.87,1941280776,0.0106284658040665
"May 1, 2013",20.6,23.04,20.43,21.8,21.64,1974715308,0.056640625
"Apr 1, 2013",19.9,20.71,19.05,20.63,20.48,2139945912,0.0380131779016726
"Mar 1, 2013",19.96,21.12,19.85,19.87,19.73,1700254044,-0.00854271356783909
"Feb 1, 2013",18.97,20.24,18.97,20.05,19.9,1851762384,0.0602024507192327
"Jan 1, 2013",18,19.04,17.41,18.91,18.77,2094111792,0.0682982356289128
"Dec 1, 2012",17.57,18.25,17.08,17.7,17.57,1666152180,0.0126801152737752
"Nov 1, 2012",17,17.5,15.92,17.48,17.35,1865300832,0.0266272189349115
"Oct 1, 2012",19,19.38,16.76,17.02,16.9,2869080048,-0.0981856990394877
"Sep 1, 2012",17.13,19.14,16.85,18.88,18.74,2404696896,0.101057579318449
"Aug 1, 2012",15.95,17.24,15.6,17.14,17.02,1880649468,0.0826972010178115
"Jul 1, 2012",14.56,16.08,14.07,15.84,15.72,2049412536,0.0909090909090911
"Jun 1, 2012",14.31,14.71,13.93,14.52,14.41,1858311828,-0.00138600138600131
"May 1, 2012",15.11,15.96,14.49,14.54,14.43,2344585068,-0.0392809587217043
"Apr 1, 2012",16.04,16.34,14.77,15.14,15.02,2352752892,-0.0571249215317012
"Mar 1, 2012",15.57,16.48,14.86,16.05,15.93,1891314792,0.037109375
"Feb 1, 2012",14.64,15.66,14.49,15.47,15.36,1892689416,0.0659264399722415
"Jan 1, 2012",16.34,16.77,14.13,14.52,14.41,2942758296,-0.101620947630923
"Dec 1, 2011",15.02,16.19,14.99,16.16,16.04,2199698100,0.0772330423102752
"Nov 1, 2011",14.52,15.47,14.05,15,14.89,2409607980,0.0115489130434783
"Oct 1, 2011",12.76,15.08,12.03,14.83,14.72,3085531380,0.150899139953089
"Sep 1, 2011",13.53,13.98,12.78,12.89,12.79,2342842812,-0.0483630952380952
"Aug 1, 2011",15.3,15.4,12.28,13.54,13.44,4266752976,-0.103402268178786
"Jul 1, 2011",12.68,15.7,12.67,15.11,14.99,3238977780,0.191573926868045
"Jun 1, 2011",13.21,13.34,11.84,12.67,12.58,2362638996,-0.0426179604261796
"May 1, 2011",13.66,13.66,12.85,13.24,13.14,1811302884,-0.0273871206513693
"Apr 1, 2011",14.73,14.89,12.99,13.62,13.51,2806858332,-0.0727522306108442
"Mar 1, 2011",15.46,15.5,13.8,14.68,14.57,2403154440,-0.0439632545931759
"Feb 1, 2011",15.13,15.8,15.05,15.35,15.24,1673085240,0.0221327967806841
"Jan 1, 2011",14.93,16.09,14.9,15.02,14.91,2396976624,0.0108474576271187
"Dec 1, 2010",14.09,15.19,14.07,14.86,14.75,1689716592,0.0688405797101448
"Nov 1, 2010",15.41,15.79,13.85,13.91,13.8,2335338324,-0.0944881889763779
"Oct 1, 2010",13.26,15.63,12.98,15.36,15.24,3170742084,0.166921898928025
"Sep 1, 2010",11.39,13.43,11.32,13.16,13.06,2385651960,0.168157423971377
"Aug 1, 2010",12.24,12.73,11.2,11.26,11.18,2112093792,-0.0714285714285714
"Jul 1, 2010",11.14,12.45,10.85,12.13,12.04,2769627600,0.0895927601809954
"Jun 1, 2010",12.02,12.74,11.13,11.13,11.05,2392133472,-0.0837479270315091
"May 1, 2010",13.18,13.34,11.51,12.15,12.06,3259185552,-0.0765696784073507
"Apr 1, 2010",14.3,14.96,13.04,13.16,13.06,2919517560,-0.0731014904187367
"Mar 1, 2010",13.24,14.72,13.21,14.19,14.09,3347637012,0.0772171253822629
"Feb 1, 2010",13.38,13.7,13.01,13.18,13.08,2079290628,-0.00607902735562316
"Jan 1, 2010",15.69,15.75,13.15,13.26,13.16,3560455980,-0.145454545454546
"Dec 1, 2009",14.72,15.67,14.49,15.52,15.4,1703107188,0.0635359116022098
"Nov 1, 2009",13.44,14.69,13.22,14.59,14.48,1634611752,0.087087087087087
"Oct 1, 2009",12.34,14.06,12.08,13.42,13.32,3083893020,0.0811688311688312
"Sep 1, 2009",11.5,12.69,11.33,12.41,12.32,2041140816,0.074106364428945
"Aug 1, 2009",11.23,11.87,10.97,11.55,11.47,1947594456,0.0427272727272727
"Jul 1, 2009",10.62,11.33,9.91,11.09,11,2917767312,0.0506208213944603
"Jun 1, 2009",10.48,11.19,10.06,10.55,10.47,2815621560,0.0106177606177607
"May 1, 2009",9.89,10.44,9.63,10.44,10.36,2279130588,0.0539165818921668
"Apr 1, 2009",8.6,10.1,8.52,9.91,9.83,3509802684,0.137731481481481
"Mar 1, 2009",8.34,8.99,7.24,8.71,8.64,4554452988,0.029797377830751
"Feb 1, 2009",8.37,9.53,8.25,8.46,8.39,4458948588,-0.00237812128418546
"Jan 1, 2009",7.72,8.82,7.08,8.47,8.41,4390872732,0.100785340314136
"Dec 1, 2008",7.17,8.25,6.57,7.7,7.64,4515775704,0.0494505494505493
"Nov 1, 2008",8.95,9.32,6.19,7.33,7.28,6314998680,-0.184770436730123
"Oct 1, 2008",10.29,10.43,7.74,8.99,8.93,7963852176,-0.10251256281407
"Sep 1, 2008",11.93,12.07,9.53,10.02,9.95,5357776860,-0.135534317984361
"Aug 1, 2008",11.82,12.78,11.56,11.59,11.51,2749823424,-0.0220900594732371
"Jul 1, 2008",13,13.91,11.65,11.86,11.77,4159276560,-0.0994644223412395
"Jun 1, 2008",14.58,14.72,12.89,13.17,13.07,3747632616,-0.101718213058419
"May 1, 2008",14.47,15.08,13.46,14.66,14.55,4181126688,0.0203366058906032
"Apr 1, 2008",11.2,14.64,11.04,14.37,14.26,5716066212,0.303473491773309
"Mar 1, 2008",11.8,11.83,10.31,11.02,10.94,5818795380,-0.064957264957265
"Feb 1, 2008",13.23,13.54,11.18,11.79,11.7,7080332580,-0.165477888730385
"Jan 1, 2008",17.34,17.45,12.99,14.12,14.02,6305264424,-0.183459522422831
"Dec 1, 2007",17.29,18.14,16.33,17.3,17.17,3409151436,-0.00232423009877969
"Nov 1, 2007",17.59,18.7,15.42,17.34,17.21,6852148992,-0.0199316628701594
"Oct 1, 2007",14.26,17.69,14.25,17.69,17.56,6211821960,0.246273953158268
"Sep 1, 2007",12.89,14.31,12.78,14.2,14.09,2773775448,0.10078125
"Aug 1, 2007",12.78,13.18,12.02,12.89,12.8,3544479972,0.01026045777427
"Jul 1, 2007",13.15,13.98,12.48,12.76,12.67,4660566768,-0.0238828967642527
"Jun 1, 2007",12.54,13.39,12.45,13.08,12.98,5156774064,0.0493128536782539
"May 1, 2007",11.82,12.73,11.45,12.46,12.37,3979284732,0.0563620836891545
"Apr 1, 2007",11.46,12.32,11.31,11.8,11.71,3714621660,0.0289982425307558
"Mar 1, 2007",11.08,11.66,10.94,11.47,11.38,4719931344,0.0197132616487457
"Feb 1, 2007",12.66,12.66,11.09,11.25,11.16,4552007436,-0.104333868378812
"Jan 1, 2007",11.66,12.84,11.54,12.55,12.46,4978500516,0.0891608391608394
"Dec 1, 2006",12.16,12.32,11.32,11.52,11.44,3662901432,-0.0498338870431894
"Nov 1, 2006",11.98,12.84,11.64,12.13,12.04,4732874388,0.0177514792899407
"Oct 1, 2006",10.06,12.31,9.96,11.92,11.83,6334219440,0.185370741482966
"Sep 1, 2006",9.53,10.48,9.43,10.06,9.98,4857193944,0.0617021276595744
"Aug 1, 2006",9.64,9.76,9.09,9.47,9.4,4274601120,-0.0208333333333333
"Jul 1, 2006",10.51,10.71,9.45,9.67,9.6,5095775124,-0.0786948176583494
"Jun 1, 2006",9.35,10.49,9.3,10.49,10.42,5689528776,0.127705627705628
"May 1, 2006",10.47,10.5,9.02,9.3,9.24,7030554408,-0.109826589595376
"Apr 1, 2006",9.75,11.28,9.71,10.46,10.38,7405167420,0.0712074303405574
"Mar 1, 2006",9.22,9.98,8.3,9.76,9.69,12258289440,0.0754716981132075
"Feb 1, 2006",9.74,10.17,8.45,9.07,9.01,11889099000,-0.161860465116279
"Jan 1, 2006",10.57,11.89,9.88,10.83,10.75,11949642396,0.0436893203883495
"Dec 1, 2005",10.24,11.17,9.99,10.38,10.3,7943316732,0.0238568588469186
"Nov 1, 2005",9.31,10.79,9.23,10.13,10.06,8458177356,0.0887445887445888
"Oct 1, 2005",7.85,9.38,7.27,9.31,9.24,7710781500,0.175572519083969
"Sep 1, 2005",7.15,8.03,7.13,7.92,7.86,6799321872,0.107042253521127
"Aug 1, 2005",7.21,7.5,6.84,7.16,7.1,5713157124,-0.00699300699300709
"Jul 1, 2005",7.38,7.95,7.18,7.2,7.15,8189766036,-0.0218878248974007
"Jun 1, 2005",7.09,7.74,6.69,7.36,7.31,15544507932,0.0609579100145137
"May 1, 2005",5.56,6.97,5.51,6.94,6.89,10140601248,0.261904761904762
"Apr 1, 2005",4.55,5.62,4.5,5.51,5.46,9058576356,0.21875
"Mar 1, 2005",4.74,4.75,4.32,4.52,4.48,6871082040,-0.0406852248394003
"Feb 1, 2005",4.86,5.43,4.53,4.7,4.67,13011367608,-0.0390946502057614
"Jan 1, 2005",4.94,5.14,4.41,4.9,4.86,8198389404,0.0146137787056368
"Dec 1, 2004",4.55,5,4.22,4.82,4.79,5807878308,0.0597345132743363
"Nov 1, 2004",4.84,5.05,4.04,4.55,4.52,11092660236,-0.0443974630021143
"Oct 1, 2004",3.27,5,3.23,4.77,4.73,10272433284,0.468944099378882
"Sep 1, 2004",2.57,3.38,2.48,3.24,3.22,4249913832,0.267716535433071
"Aug 1, 2004",2.5,2.84,2.4,2.56,2.54,2672137188,
