Date,Open,High,Low,Close ,Adj Close ,Volume
"Mar 25, 2010",0.236 Dividend,,,,,
"Mar 1, 2010",56.49,60.17,56.47,59.59,44.94,46139800
"Feb 1, 2010",54.72,56.72,52.82,56.23,42.41,40649700
"Jan 1, 2010",56.86,58.35,54.28,54.36,41,44463300
"Dec 22, 2009",0.358 Dividend,,,,,
"Dec 1, 2009",55.68,57.25,54.94,56.37,42.24,36961800
"Nov 1, 2009",52.47,56.22,51.8,55.15,41.33,37259200
"Oct 1, 2009",53.4,55.85,51.57,52.18,39.1,38266100
"Sep 24, 2009",0.248 Dividend,,,,,
"Sep 1, 2009",51.42,55.07,50.19,53.59,39.97,33497900
"Aug 1, 2009",50.28,52.71,49.47,51.7,38.56,35494100
"Jul 1, 2009",46.5,50.32,43.6,49.85,37.18,42620500
"Jun 24, 2009",0.223 Dividend,,,,,
"Jun 1, 2009",46.96,48.31,44.74,46.27,34.34,48864500
"May 1, 2009",43.93,46.74,43.59,46.33,34.39,63575500
"Apr 1, 2009",39.11,44.79,38.95,43.93,32.61,77365100
"Mar 25, 2009",0.278 Dividend,,,,,
"Mar 1, 2009",36.04,41.45,33.26,39.58,29.18,130255000
"Feb 1, 2009",40.54,43.65,36.66,36.81,27.13,139680100
"Jan 1, 2009",44.88,46.86,40,41.14,30.33,158467900
"Dec 22, 2008",0.335 Dividend,,,,,
"Dec 1, 2008",43.09,45.69,40.2,44.74,32.73,200234000
"Nov 1, 2008",48.06,49.89,36.32,44.3,32.41,390381200
"Oct 1, 2008",58.29,58.52,41.4,48.16,35.23,173103100
"Sep 24, 2008",0.296 Dividend,,,,,
"Sep 1, 2008",65.36,65.7,55.89,58.36,42.48,53017700
"Aug 1, 2008",63.86,66.01,62.61,64.62,47.04,31130500
"Jul 1, 2008",63.49,64.85,60.09,63.69,46.36,45319400
"Jun 24, 2008",0.313 Dividend,,,,,
"Jun 1, 2008",69.99,70.63,63.83,64.09,46.43,24325000
"Jun 18, 2008",2:1 Stock Splits,,,,,
"May 1, 2008",68.7,71.8,68.58,70.08,50.78,24483400
"Apr 1, 2008",66.32,69.7,65.68,68.7,49.77,16504400
"Mar 25, 2008",0.3115 Dividend,,,,,
"Mar 1, 2008",66.11,67.43,62.42,65.5,47.23,24552600
"Feb 1, 2008",68.38,69.28,65.36,66.4,47.88,24346600
"Jan 1, 2008",72.6,72.8,60,68.1,49.11,43053800
"Dec 20, 2007",0.3855 Dividend,,,,,
